[2024-10-15 01:54:47] ERROR: {"method":"POST","url":"/api/v1/auth/send-otp","status":"404","responseSize":"1324","responseTime":"68.466\n"}
[2024-10-15 01:55:21] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"397.377\n"}
[2024-10-15 01:56:49] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"657.546\n"}
[2024-10-15 01:57:00] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"98.870\n"}
[2024-10-15 01:58:05] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"318.845\n"}
[2024-10-15 02:03:06] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"614.838\n"}
[2024-10-15 02:08:08] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"340.350\n"}
[2024-10-15 02:09:25] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"1151.455\n"}
[2024-10-15 02:09:55] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"970.566\n"}
[2024-10-15 02:10:24] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"817.106\n"}
[2024-10-15 02:10:53] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"821.010\n"}
[2024-10-15 02:11:36] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"203.614\n"}
[2024-10-15 02:13:22] INFO: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"200","responseSize":"119","responseTime":"285.241\n"}
[2024-10-15 03:05:38] INFO: {"method":"POST","url":"/api/v1/users/signup","status":"201","responseSize":"373","responseTime":"1377.382\n"}
[2024-10-15 03:07:41] INFO: {"method":"GET","url":"/api/v1/auth/logout","status":"200","responseSize":"91","responseTime":"123.024\n"}
[2024-10-15 03:08:32] ERROR: {"method":"POST","url":"/api/v1/auth/send-OTP","status":"401","responseSize":"531","responseTime":"165.740\n"}
